"Table 4","","","","","","","","","","","","",""
"January to June 2017–2018","","","","","","","","","","","","",""
"Offenses Reported to Law Enforcement ","","","","","","","","","","","","",""
"by State by City 100,000 and over in population","","","","","","","","","","","","",""
"Alabama through California","","","","","","","","","","","","",""
"State","City","","Population1","Violent 
crime","Murder","Rape2","Robbery","Aggravated 
assault","Property 
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson3"
"ALABAMA","BIRMINGHAM","2017.0","212178.0","1833.0","42.0","92.0","473.0","1226.0","6472.0","1293.0","4360.0","819.0","113.0"
"","","2018.0","","1978.0","47.0","86.0","398.0","1447.0","6280.0","1152.0","4233.0","895.0","76.0"
"","MOBILE4","2017.0","248431.0","937.0","22.0","57.0","236.0","622.0","6493.0","1509.0","4399.0","585.0","35.0"
"","","2018.0","","820.0","15.0","73.0","185.0","547.0","6027.0","1235.0","4183.0","609.0","24.0"
"","MONTGOMERY","2017.0","199099.0","656.0","19.0","35.0","185.0","417.0","4246.0","1031.0","2797.0","418.0",""
"","","2018.0","","559.0","12.0","22.0","152.0","373.0","4098.0","995.0","2672.0","431.0",""
"","TUSCALOOSA","2017.0","101124.0","212.0","2.0","18.0","69.0","123.0","1953.0","390.0","1475.0","88.0",""
"","","2018.0","","253.0","3.0","20.0","71.0","159.0","2092.0","414.0","1569.0","109.0",""
"ALASKA","ANCHORAGE","2017.0","296188.0","1798.0","13.0","287.0","369.0","1129.0","7708.0","1089.0","5180.0","1439.0","31.0"
"","","2018.0","","1777.0","10.0","219.0","372.0","1176.0","7655.0","1101.0","4832.0","1722.0","23.0"
"ARIZONA","CHANDLER","2017.0","249355.0","303.0","1.0","67.0","72.0","163.0","2906.0","401.0","2298.0","207.0","10.0"
"","","2018.0","","287.0","1.0","74.0","62.0","150.0","2771.0","369.0","2241.0","161.0","8.0"
"","GILBERT","2017.0","242090.0","99.0","1.0","27.0","17.0","54.0","1589.0","213.0","1313.0","63.0","5.0"
"","","2018.0","","131.0","1.0","48.0","15.0","67.0","1695.0","213.0","1400.0","82.0","5.0"
"","GLENDALE","2017.0","249273.0","598.0","7.0","36.0","247.0","308.0","5654.0","848.0","4198.0","608.0","18.0"
"","","2018.0","","594.0","7.0","69.0","171.0","347.0","4830.0","756.0","3581.0","493.0","34.0"
"","MESA","2017.0","492268.0","1000.0","11.0","127.0","221.0","641.0","5472.0","962.0","4069.0","441.0","9.0"
"","","2018.0","","967.0","10.0","143.0","192.0","622.0","5113.0","751.0","3901.0","461.0","7.0"
"","PEORIA","2017.0","165889.0","202.0","3.0","34.0","33.0","132.0","1786.0","275.0","1394.0","117.0","2.0"
"","","2018.0","","201.0","2.0","33.0","29.0","137.0","1596.0","281.0","1224.0","91.0","4.0"
"","SCOTTSDALE","2017.0","251840.0","193.0","2.0","47.0","55.0","89.0","2684.0","437.0","2115.0","132.0","9.0"
"","","2018.0","","211.0","7.0","53.0","52.0","99.0","2853.0","350.0","2362.0","141.0","7.0"
"","SURPRISE","2017.0","135345.0","57.0","1.0","5.0","21.0","30.0","1300.0","124.0","1100.0","76.0","2.0"
"","","2018.0","","67.0","3.0","10.0","20.0","34.0","1088.0","138.0","860.0","90.0","3.0"
"","TEMPE","2017.0","186086.0","463.0","3.0","74.0","120.0","266.0","3812.0","502.0","3083.0","227.0","12.0"
"","","2018.0","","448.0","3.0","75.0","97.0","273.0","3567.0","456.0","2841.0","270.0","3.0"
"","TUCSON","2017.0","532323.0","2155.0","21.0","263.0","694.0","1177.0","13381.0","2053.0","10200.0","1128.0","84.0"
"","","2018.0","","2027.0","26.0","255.0","670.0","1076.0","13925.0","1690.0","10959.0","1276.0","92.0"
"ARKANSAS","LITTLE ROCK","2017.0","199314.0","1759.0","25.0","102.0","258.0","1374.0","6985.0","1260.0","5116.0","609.0","28.0"
"","","2018.0","","1326.0","20.0","120.0","149.0","1037.0","6145.0","1060.0","4576.0","509.0","24.0"
"CALIFORNIA","ANAHEIM","2017.0","353400.0","601.0","6.0","63.0","218.0","314.0","4629.0","652.0","3190.0","787.0","16.0"
"","","2018.0","","578.0","2.0","70.0","195.0","311.0","4399.0","733.0","2969.0","697.0","13.0"
"","ANTIOCH","2017.0","112252.0","306.0","4.0","22.0","127.0","153.0","1873.0","301.0","1037.0","535.0","30.0"
"","","2018.0","","283.0","1.0","24.0","102.0","156.0","1479.0","278.0","910.0","291.0","26.0"
"","BAKERSFIELD","2017.0","381154.0","929.0","22.0","48.0","365.0","494.0","7570.0","1643.0","4621.0","1306.0","127.0"
"","","2018.0","","911.0","18.0","60.0","402.0","431.0","8330.0","1997.0","4875.0","1458.0","116.0"
"","BERKELEY","2017.0","122687.0","322.0","1.0","38.0","181.0","102.0","2827.0","386.0","2148.0","293.0","6.0"
"","","2018.0","","289.0","1.0","33.0","170.0","85.0","2543.0","412.0","1858.0","273.0","21.0"
"","BURBANK","2017.0","104622.0","113.0","0.0","7.0","40.0","66.0","1483.0","158.0","1187.0","138.0","11.0"
"","","2018.0","","129.0","0.0","7.0","48.0","74.0","1362.0","141.0","1115.0","106.0","7.0"
"","CARLSBAD","2017.0","115344.0","106.0","0.0","16.0","17.0","73.0","1014.0","204.0","745.0","65.0","7.0"
"","","2018.0","","115.0","1.0","19.0","23.0","72.0","1081.0","169.0","830.0","82.0","5.0"
"","CHULA VISTA","2017.0","271109.0","376.0","0.0","30.0","138.0","208.0","1907.0","313.0","1244.0","350.0","13.0"
"","","2018.0","","406.0","4.0","43.0","114.0","245.0","1905.0","307.0","1244.0","354.0","9.0"
"","CLOVIS","2017.0","108419.0","144.0","0.0","23.0","36.0","85.0","1516.0","245.0","1177.0","94.0","3.0"
"","","2018.0","","106.0","1.0","23.0","15.0","67.0","1271.0","160.0","1024.0","87.0","2.0"
"","CONCORD","2017.0","129789.0","229.0","3.0","28.0","85.0","113.0","2130.0","203.0","1499.0","428.0","14.0"
"","","2018.0","","246.0","1.0","27.0","103.0","115.0","2151.0","261.0","1611.0","279.0","12.0"
"","CORONA","2017.0","169164.0","108.0","0.0","23.0","43.0","42.0","1807.0","308.0","1213.0","286.0","9.0"
"","","2018.0","","127.0","4.0","27.0","49.0","47.0","1535.0","191.0","1082.0","262.0","10.0"
"","COSTA MESA","2017.0","113267.0","166.0","1.0","27.0","69.0","69.0","2330.0","344.0","1688.0","298.0","5.0"
"","","2018.0","","170.0","2.0","34.0","60.0","74.0","1860.0","260.0","1439.0","161.0","12.0"
"","DALY CITY","2017.0","107355.0","144.0","0.0","30.0","58.0","56.0","829.0","104.0","629.0","96.0","4.0"
"","","2018.0","","113.0","2.0","18.0","45.0","48.0","719.0","119.0","517.0","83.0","3.0"
"","DOWNEY","2017.0","113511.0","198.0","1.0","11.0","89.0","97.0","1671.0","292.0","976.0","403.0","2.0"
"","","2018.0","","174.0","3.0","7.0","83.0","81.0","1352.0","243.0","784.0","325.0","8.0"
"","EL CAJON","2017.0","104447.0","189.0","0.0","24.0","62.0","103.0","1207.0","231.0","757.0","219.0","6.0"
"","","2018.0","","246.0","2.0","20.0","86.0","138.0","1164.0","166.0","827.0","171.0","9.0"
"","ELK GROVE","2017.0","172620.0","273.0","0.0","18.0","47.0","208.0","1179.0","208.0","862.0","109.0","0.0"
"","","2018.0","","261.0","0.0","15.0","40.0","206.0","1113.0","146.0","878.0","89.0","6.0"
"","EL MONTE","2017.0","116168.0","239.0","4.0","23.0","95.0","117.0","1396.0","361.0","677.0","358.0","4.0"
"","","2018.0","","181.0","2.0","12.0","78.0","89.0","1216.0","257.0","677.0","282.0","10.0"
"","ESCONDIDO","2017.0","152845.0","252.0","3.0","21.0","68.0","160.0","1269.0","215.0","877.0","177.0","9.0"
"","","2018.0","","237.0","1.0","28.0","71.0","137.0","1370.0","187.0","933.0","250.0","5.0"
"","FAIRFIELD","2017.0","116372.0","283.0","5.0","18.0","99.0","161.0","1433.0","230.0","975.0","228.0","11.0"
"","","2018.0","","335.0","2.0","53.0","89.0","191.0","1639.0","211.0","1121.0","307.0","11.0"
"","FONTANA","2017.0","211782.0","321.0","4.0","33.0","81.0","203.0","1840.0","295.0","1089.0","456.0","6.0"
"","","2018.0","","331.0","5.0","27.0","94.0","205.0","1683.0","289.0","928.0","466.0","5.0"
"","FREMONT","2017.0","236368.0","202.0","0.0","30.0","88.0","84.0","2722.0","350.0","1870.0","502.0","8.0"
"","","2018.0","","272.0","1.0","32.0","115.0","124.0","2372.0","402.0","1608.0","362.0","6.0"
"","FRESNO","2017.0","526371.0","1511.0","33.0","90.0","502.0","886.0","10256.0","1860.0","6908.0","1488.0","112.0"
"","","2018.0","","1489.0","18.0","93.0","473.0","905.0","8628.0","1411.0","6126.0","1091.0","129.0"
"","FULLERTON","2017.0","141637.0","133.0","0.0","31.0","41.0","61.0","1984.0","154.0","1620.0","210.0","20.0"
"","","2018.0","","174.0","0.0","27.0","66.0","81.0","1878.0","176.0","1460.0","242.0","8.0"
"","GARDEN GROVE","2017.0","175466.0","304.0","2.0","6.0","112.0","184.0","2209.0","427.0","1458.0","324.0","11.0"
"","","2018.0","","266.0","2.0","28.0","90.0","146.0","2096.0","329.0","1438.0","329.0","6.0"
"","GLENDALE","2017.0","202381.0","155.0","1.0","13.0","72.0","69.0","1553.0","246.0","1150.0","157.0","5.0"
"","","2018.0","","83.0","0.0","16.0","24.0","43.0","1491.0","188.0","1156.0","147.0","5.0"
"","HAYWARD","2017.0","161417.0","260.0","2.0","34.0","125.0","99.0","2523.0","247.0","1355.0","921.0","13.0"
"","","2018.0","","330.0","0.0","55.0","170.0","105.0","2434.0","262.0","1468.0","704.0","9.0"
"","HUNTINGTON BEACH","2017.0","202244.0","205.0","0.0","22.0","33.0","150.0","2133.0","335.0","1565.0","233.0","9.0"
"","","2018.0","","218.0","0.0","41.0","59.0","118.0","1871.0","227.0","1485.0","159.0","9.0"
"","INGLEWOOD","2017.0","110811.0","418.0","4.0","22.0","206.0","186.0","1366.0","242.0","685.0","439.0","10.0"
"","","2018.0","","349.0","7.0","29.0","155.0","158.0","1382.0","220.0","823.0","339.0","6.0"
"","IRVINE","2017.0","276115.0","87.0","2.0","24.0","28.0","33.0","1797.0","324.0","1374.0","99.0","4.0"
"","","2018.0","","83.0","0.0","23.0","22.0","38.0","1673.0","273.0","1316.0","84.0","2.0"
"","JURUPA VALLEY","2017.0","104922.0","138.0","3.0","10.0","36.0","89.0","1352.0","155.0","858.0","339.0","3.0"
"","","2018.0","","134.0","5.0","8.0","45.0","76.0","1389.0","201.0","791.0","397.0","0.0"
"","LANCASTER","2017.0","160653.0","527.0","7.0","29.0","143.0","348.0","1561.0","438.0","794.0","329.0","17.0"
"","","2018.0","","586.0","4.0","49.0","142.0","391.0","1855.0","512.0","981.0","362.0","14.0"
"","LONG BEACH","2017.0","471397.0","1551.0","11.0","93.0","618.0","829.0","6280.0","1442.0","3416.0","1422.0","59.0"
"","","2018.0","","1702.0","11.0","107.0","527.0","1057.0","5936.0","1077.0","3688.0","1171.0","57.0"
"","LOS ANGELES","2017.0","4007147.0","14647.0","142.0","1229.0","5163.0","8113.0","50108.0","8233.0","32231.0","9644.0","651.0"
"","","2018.0","","14472.0","133.0","1281.0","5138.0","7920.0","50015.0","7875.0","33317.0","8823.0","897.0"
"","MODESTO","2017.0","213677.0","1009.0","13.0","54.0","253.0","689.0","4279.0","664.0","2897.0","718.0","36.0"
"","","2018.0","","963.0","8.0","47.0","204.0","704.0","3965.0","564.0","2819.0","582.0","26.0"
"","MORENO VALLEY","2017.0","207418.0","372.0","6.0","15.0","166.0","185.0","3303.0","580.0","2132.0","591.0","8.0"
"","","2018.0","","396.0","7.0","17.0","141.0","231.0","2933.0","591.0","1828.0","514.0","5.0"
"","MURRIETA","2017.0","113016.0","39.0","1.0","10.0","15.0","13.0","837.0","140.0","608.0","89.0","4.0"
"","","2018.0","","51.0","2.0","7.0","18.0","24.0","661.0","128.0","435.0","98.0","2.0"
"","NORWALK","2017.0","106278.0","202.0","2.0","9.0","65.0","126.0","990.0","221.0","532.0","237.0","5.0"
"","","2018.0","","219.0","5.0","4.0","61.0","149.0","1057.0","222.0","604.0","231.0","4.0"
"","OAKLAND","2017.0","424915.0","2790.0","32.0","185.0","1367.0","1206.0","13028.0","1431.0","8587.0","3010.0","70.0"
"","","2018.0","","2675.0","32.0","214.0","1220.0","1209.0","10677.0","1160.0","7021.0","2496.0","106.0"
"","OCEANSIDE","2017.0","176815.0","335.0","4.0","36.0","82.0","213.0","2100.0","317.0","1568.0","215.0","16.0"
"","","2018.0","","309.0","3.0","33.0","72.0","201.0","1845.0","258.0","1346.0","241.0","12.0"
"","ONTARIO","2017.0","174724.0","309.0","3.0","59.0","96.0","151.0","2218.0","344.0","1431.0","443.0","10.0"
"","","2018.0","","311.0","4.0","57.0","109.0","141.0","2329.0","340.0","1479.0","510.0","17.0"
"","ORANGE","2017.0","141130.0","123.0","1.0","6.0","37.0","79.0","1292.0","216.0","873.0","203.0","9.0"
"","","2018.0","","91.0","2.0","1.0","44.0","44.0","1232.0","239.0","852.0","141.0","7.0"
"","OXNARD","2017.0","209513.0","464.0","10.0","34.0","223.0","197.0","2695.0","412.0","1897.0","386.0","24.0"
"","","2018.0","","426.0","8.0","31.0","195.0","192.0","2591.0","351.0","1831.0","409.0","20.0"
"","PALMDALE","2017.0","158094.0","342.0","2.0","22.0","126.0","192.0","1278.0","270.0","801.0","207.0","12.0"
"","","2018.0","","325.0","3.0","22.0","84.0","216.0","1203.0","287.0","692.0","224.0","9.0"
"","PASADENA","2017.0","142891.0","285.0","5.0","19.0","120.0","141.0","1558.0","392.0","960.0","206.0","22.0"
"","","2018.0","","236.0","2.0","21.0","75.0","138.0","1447.0","349.0","934.0","164.0","10.0"
"","POMONA","2017.0","153066.0","423.0","10.0","48.0","181.0","184.0","2222.0","349.0","1299.0","574.0","13.0"
"","","2018.0","","443.0","9.0","44.0","180.0","210.0","2370.0","413.0","1429.0","528.0","17.0"
"","RANCHO CUCAMONGA","2017.0","178308.0","147.0","0.0","24.0","49.0","74.0","2120.0","436.0","1504.0","180.0","1.0"
